,FRUITS_VEGGIES,DAILY_STRESS,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,ACHIEVEMENT
0,3,2,2,5,0,5,0,1,6,4.0,5,0,7,5,5,1,4,0,5,3,1,609.5,2
1,2,3,4,3,8,10,2,2,5,2.0,5,5,8,2,2,2,3,2,6,3,1,655.6,5
2,2,3,3,4,4,10,2,2,2,2.0,4,5,8,10,2,2,4,8,3,3,1,631.6,3
3,3,3,10,3,10,7,5,2,3,5.0,5,0,5,7,5,1,5,2,0,4,1,622.7,2
4,5,1,3,3,10,4,4,2,5,0.0,5,0,7,0,0,2,8,1,5,4,1,663.9,2
5,3,2,3,9,10,10,3,1,6,1.0,7,10,8,0,2,2,10,8,3,4,1,722.3,2
6,4,2,10,6,10,10,5,2,8,8.0,7,5,7,10,0,2,10,8,10,4,0,727.2,3
7,3,4,5,3,5,7,0,1,8,2.0,8,10,6,0,2,2,8,2,2,2,1,676.2,4
8,5,3,6,4,3,3,4,1,10,2.0,1,5,10,0,2,2,10,3,10,2,1,702.8,5
9,4,4,2,6,10,10,4,2,3,2.0,3,0,6,0,0,1,3,8,1,4,1,634.4,0
10,2,4,7,7,1,1,0,2,2,2.0,7,4,8,7,3,2,3,0,6,3,1,610.1,3
11,1,4,3,8,0,2,0,1,2,1.0,8,2,7,7,1,2,4,1,7,2,0,618.6,1
12,2,2,10,5,2,8,4,2,7,1.0,6,10,8,0,0,2,5,2,7,2,0,686.4,3
13,5,3,0,3,6,6,3,1,8,7.0,7,2,6,0,3,2,5,6,5,3,1,689.6,6
14,3,3,2,3,7,5,2,1,8,0.0,2,5,8,3,2,1,4,5,4,2,1,639.7,3
15,3,3,5,4,10,10,5,1,7,2.0,8,10,6,1,2,2,8,3,10,4,1,720.4,2
