,FRUITS_VEGGIES,PLACES_VISITED,CORE_CIRCLE,SUPPORTING_OTHERS,SOCIAL_NETWORK,ACHIEVEMENT,DONATION,BMI_RANGE,TODO_COMPLETED,FLOW,DAILY_STEPS,LIVE_VISION,SLEEP_HOURS,LOST_VACATION,DAILY_SHOUTING,SUFFICIENT_INCOME,PERSONAL_AWARDS,TIME_FOR_PASSION,WEEKLY_MEDITATION,AGE,GENDER,WORK_LIFE_BALANCE_SCORE,DAILY_STRESS
0,3,2,5,0,5,2,0,1,6,4.0,5,0,7,5,5,1,4,0,5,3,1,609.5,2
1,2,4,3,8,10,5,2,2,5,2.0,5,5,8,2,2,2,3,2,6,3,1,655.6,3
2,2,3,4,4,10,3,2,2,2,2.0,4,5,8,10,2,2,4,8,3,3,1,631.6,3
3,3,10,3,10,7,2,5,2,3,5.0,5,0,5,7,5,1,5,2,0,4,1,622.7,3
4,5,3,3,10,4,2,4,2,5,0.0,5,0,7,0,0,2,8,1,5,4,1,663.9,1
5,3,3,9,10,10,2,3,1,6,1.0,7,10,8,0,2,2,10,8,3,4,1,722.3,2
6,4,10,6,10,10,3,5,2,8,8.0,7,5,7,10,0,2,10,8,10,4,0,727.2,2
7,3,5,3,5,7,4,0,1,8,2.0,8,10,6,0,2,2,8,2,2,2,1,676.2,4
8,5,6,4,3,3,5,4,1,10,2.0,1,5,10,0,2,2,10,3,10,2,1,702.8,3
9,4,2,6,10,10,0,4,2,3,2.0,3,0,6,0,0,1,3,8,1,4,1,634.4,4
10,2,7,7,1,1,3,0,2,2,2.0,7,4,8,7,3,2,3,0,6,3,1,610.1,4
11,1,3,8,0,2,1,0,1,2,1.0,8,2,7,7,1,2,4,1,7,2,0,618.6,4
12,2,10,5,2,8,3,4,2,7,1.0,6,10,8,0,0,2,5,2,7,2,0,686.4,2
13,5,0,3,6,6,6,3,1,8,7.0,7,2,6,0,3,2,5,6,5,3,1,689.6,3
14,3,2,3,7,5,3,2,1,8,0.0,2,5,8,3,2,1,4,5,4,2,1,639.7,3
15,3,5,4,10,10,2,5,1,7,2.0,8,10,6,1,2,2,8,3,10,4,1,720.4,3
16,4,10,4,6,10,4,0,1,8,2.0,1,1,8,1,1,2,3,3,3,2,0,673.5,2
17,4,10,10,5,10,0,1,1,7,1.0,10,2,8,0,3,2,4,8,6,2,0,707.6,2
18,5,10,7,10,5,6,5,1,6,2.0,8,10,9,0,7,2,5,4,7,3,1,727.8,3
19,3,6,10,10,6,3,5,2,8,4.0,1,5,8,0,0,2,5,1,2,3,0,687.1,1
20,2,3,8,6,5,1,2,1,8,1.0,4,6,4,0,3,2,3,2,5,2,0,652.9,4
21,3,5,4,5,3,2,5,2,10,6.0,3,3,7,5,7,2,10,10,10,2,1,668.6,5
22,5,8,6,10,10,6,4,2,4,4.0,3,3,7,1,2,2,10,6,8,3,0,709.4,2
23,2,6,10,10,10,10,5,1,10,6.0,7,4,7,0,1,2,10,5,7,3,0,752.7,2
24,2,6,10,5,5,6,4,2,6,1.0,7,10,6,0,3,2,1,3,10,3,1,677.7,4
25,1,1,3,6,5,3,5,1,2,2.0,8,1,7,0,6,2,5,1,1,2,0,633.9,5
26,1,1,2,5,3,1,5,1,1,5.0,8,1,7,0,4,2,2,1,1,2,0,628.8,4
